What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
22,Master's Level,Male,2.5,4.4,23,Mobile,4:06:00 AM,Yes,5,PUBG,Regular,Paid,2,Depressed,Excited,Stressed,Yes,Yes,No
23,Bachelor Level,Male,3,3,20,Mobile,11:30:00 AM,Yes,6,FIFA,Regular,Non Paid,6,Upset,Excited,Stressed,Yes,Yes,No
22,Bachelor Level,Female,2.65,4.5,19,Mobile,11:00:00 AM,No,5,PUBG,Regular,Paid,1,Angry,Bored,Excited to complete level,Yes,Yes,No
20,Bachelor Level,Female,2.47,3.71,20,PC,10:30:00 AM,No,6,IGA,Regular,Paid,1,Upset,Bored,Stressed,Yes,No,Yes
30,Master's Level,Female,3,3.87,18,PC,12:00:00 PM,Yes,6,FREE FIRE,Regular,Paid,3,Angry,Excited,Stressed,Yes,No,Yes
20,Bachelor Level,Female,2.45,3.4,19,PC,11:00:00 AM,No,3,PES,Not regular,Paid,3,Angry,Excited,Stressed,Yes,Yes,Yes
23,Bachelor Level,Male,3.39,4.46,23,Mobile,11:00:00 AM,No,6,PUBG,Not regular,Paid,3,Upset,Bored,Excited to complete level,No,No,No
20,Bachelor Level,Male,2.49,3.04,16,Mobile,2:00:00 AM,No,6,COC,Regular,Paid,3,Upset,Bored,Stressed,No,No,No
22,Bachelor Level,Male,3.56,3.03,19,Mobile,2:00:00 AM,No,2,PES,Regular,Paid,3,Depressed,Bored,Stressed,Yes,Yes,Yes
28,Master's Level,Male,2.45,4.91,20,PC,11:30:00 AM,No,6,PES,Regular,Paid,3,Upset,Excited,Excited to complete level,No,Yes,No
22,Bachelor Level,Female,3.53,4,19,PC,2:00:00 AM,No,6,PES,Not regular,Paid,3,Angry,Excited,Excited to complete level,No,Yes,No
22,Bachelor Level,Male,3.14,4.82,18,Mobile,10:30:00 AM,Yes,6,IGA,Regular,Paid,1,Upset,Excited,Excited to complete level,No,Yes,No
26,Master's Level,Male,3.76,4.81,19,PC,12:00:00 PM,Yes,5,PUBG,Not regular,Paid,1,Angry,Excited,Excited to complete level,Yes,No,No
21,Bachelor Level,Female,2.42,4,24,Mobile,11:30:00 AM,Yes,6,FREE FIRE,Not regular,Paid,2,Positive,Excited,Stressed,No,Yes,Yes
28,Master's Level,Male,3.51,4.83,21,PC,12:30:00 PM,No,3,FIFA,Regular,Paid,1,Positive,Bored,Excited to complete level,Yes,No,Yes
20,Bachelor Level,Female,3.8,4.01,17,Mobile,1:00:00 AM,Yes,6,PES,Not regular,Paid,3,Positive,Excited,Excited to complete level,No,Yes,Yes
25,Bachelor Level,Female,3.47,4,21,Mobile,11:30:00 AM,No,2,PES,Regular,Paid,3,Positive,Excited,Stressed,No,Yes,Yes
29,Master's Level,Male,2.86,3.83,22,PC,1:00:00 AM,Yes,5,COC,Regular,Paid,2,Depressed,Excited,No feeling,No,Yes,No
28,Master's Level,Female,3.61,4.41,16,Mobile,1:30:00 AM,No,3,PES,Not regular,Paid,1,Positive,Excited,No feeling,Yes,Yes,Yes
27,Master's Level,Female,3.19,4.53,18,PC,11:00:00 AM,Yes,6,PES,Not regular,Paid,2,Angry,Bored,Excited to complete level,Yes,No,No
22,Bachelor Level,Female,3.1,3.98,22,PC,10:30:00 AM,Yes,2,PUBG,Regular,Paid,2,Angry,Bored,Stressed,No,No,Yes
29,Master's Level,Female,3.86,4,24,Mobile,1:00:00 AM,No,2,IGA,Not regular,Paid,1,Angry,Bored,Excited to complete level,Yes,Yes,Yes
21,Bachelor Level,Male,2.36,4,23,Mobile,1:30:00 AM,Yes,3,IGA,Regular,Paid,2,Upset,Bored,Excited to complete level,Yes,No,Yes
